DATE,TRANSACTION ID,DESCRIPTION,QUANTITY,SYMBOL,PRICE,COMMISSION,AMOUNT,REG FEE,SHORT-TERM RDM FEE,FUND REDEMPTION FEE, DEFERRED SALES CHARGE
02/10/2022,40684480041,Bought 0.391 CARR @ 47.6936,0.391,CARR,47.6936,,-18.67,,,,
02/10/2022,40684999519,QUALIFIED DIVIDEND (AAPL),,AAPL,,,9.30,,,,
02/10/2022,40684999520,Bought 0.053 AAPL @ 174.7276,0.053,AAPL,174.7276,,-9.30,,,,
02/15/2022,40771766254,QUALIFIED DIVIDEND (PG),,PG,,,101.40,,,,
02/15/2022,40771766269,Bought 0.641 PG @ 158.2042,0.641,PG,158.2042,,-101.40,,,,
02/28/2022,40989236659,ORDINARY DIVIDEND (BGR),,BGR,,,4.96,,,,
02/28/2022,40989236671,Bought 0.456 BGR @ 10.8827,0.456,BGR,10.8827,,-4.96,,,,
03/01/2022,41051549322,QUALIFIED DIVIDEND (WFC),,WFC,,,54.56,,,,
03/01/2022,41051685719,QUALIFIED DIVIDEND (INTC),,INTC,,,29.81,,,,
03/01/2022,41052060267,QUALIFIED DIVIDEND (F),,F,,,57.12,,,,
03/01/2022,41051549324,Bought 1.071 WFC @ 50.9444,1.071,WFC,50.9444,,-54.56,,,,
03/01/2022,41051685734,Bought 0.635 INTC @ 46.9345,0.635,INTC,46.9345,,-29.81,,,,
03/01/2022,41052060273,Bought 3.385 F @ 16.8725,3.385,F,16.8725,,-57.12,,,,
03/08/2022,41209707304,QUALIFIED DIVIDEND (JNJ),,JNJ,,,68.28,,,,
03/08/2022,41209707306,Bought 0.399 JNJ @ 171.0589,0.399,JNJ,171.0589,,-68.28,,,,
03/10/2022,41272377235,QUALIFIED DIVIDEND (XOM),,XOM,,,65.26,,,,
03/10/2022,41272951935,QUALIFIED DIVIDEND (MSFT),,MSFT,,,13.13,,,,
03/10/2022,41272377243,Bought 0.774 XOM @ 84.3108,0.774,XOM,84.3108,,-65.26,,,,
03/10/2022,41272951939,Bought 0.046 MSFT @ 282.627,0.046,MSFT,282.627,,-13.13,,,,
03/11/2022,41301041306,QUALIFIED DIVIDEND (HON),,HON,,,44.99,,,,
03/11/2022,41301041308,Bought 0.243 HON @ 185.145,0.243,HON,185.145,,-44.99,,,,
03/24/2022,41555137761,Qualified Dividend~NVDA,0.48,,0.00,,0.48,,,,
***END OF FILE***
